"","NAME","Y","X"
"4759","Blythemor",1022112,337147
"4727","Bog of Surtan",1022062,335067
"4840","Hill of Cruaday",1021772,324891
"4746","Black Moss of Evrigert",1021493,336357
"2939","The Galt",1021485,348481
"4761","Little Billa Fiold",1021468,334831
"4738","Longiger",1021458,337402
"4735","Breck of Longiger",1021374,336717
"13145","Quholm",1021312,352156
"2952","Lamb Head",1021218,369404
"2950","Greenli Ness",1021193,362904
"5429","Quoyloo",1021147,324559
"4834","North Unigarth",1021125,325264
"4739","Fibla Fiold",1021078,336462
"4725","Milldoe",1020857,335937
"2990","Dounby",1020774,329503
"2951","Tor Ness",1020635,365846
"4741","Kame of Corrigall",1020633,333479
"4757","North Gue",1020620,336216
"4743","Breck of Elicant",1020568,336724
"4837","Tronston",1020555,325717
"4752","Low Fiold",1020537,332329
"4841","Skeabrae",1020504,327441
"4753","The Hog",1020481,332854
"4720","Tooin of Rusht",1020257,335503
"4718","Quoys of the Hill",1020247,331941
"6388","Mirbister",1020042,330472
"13226","Rendall",1020008,339885
"7189","Blubbersdale",1019980,337653
"4736","Dale",1019955,336553
"4754","Dale of Cottascarth",1019858,336128
"4747","Ernie Tooin",1019514,335566
"6252","Ling Holm",1019490,350250
"4745","Corrigall",1019465,332425
"4726","Bailie Hill",1019387,336104
"4760","Hindera Fiold",1019138,334655
"4733","Cuppablack",1019107,335126
"4750","Corston",1019083,331664
"4751","Hindera Fiold",1019002,335178
"4719","Settiscarth",1018814,336626
"4717","Chair of Lyde",1018714,335662
"4731","Foot of Aglath",1018366,335785
"4742","Braes of Aglath",1018122,335902
"4722","Ward od Redland",1017894,336272
"13284","Aith",1017844,324987
"4732","Verigens",1017659,336100
"13229","Harray",1017530,331816
"4734","North Liscups",1017488,336321
"4758","Rowamo",1017186,335397
"2937","Balfour Mains",1017129,347910
"6384","Tenston",1017016,327194
"4744","Dale of Redland",1016958,336146
"13285","Hestwall",1016773,326090
"4756","Kilns of Rowamo",1016720,335214
"2936","Balfour",1016590,347764
"4724","Burrien Hill",1016553,335603
"6336","Ling Holms",1015528,328873
"2940","Hacksness",1014915,352454
"13231","Firth",1014126,335586
"2991","Finstown",1013820,336029
"14627","Brodgar Farm",1012809,330345
"3517","Crow Ness",1012414,344484
"4805","Eastalet",1012254,321958
"3736","Rerwick Point",1012137,353952
"3745","Rough of Rerwick",1012057,353764
"3518","Bay of Weyland",1012046,345611
"4818","White Braes",1012042,322221
"3737","Scarf Skerry",1012014,354061
"3738","Grunkeys Geo",1011891,354226
"3739","Rerwick Head",1011850,354026
"4815","Black Braes",1011844,322643
"4813","Hill of Quholm",1011710,324734
"6128","Stenness",1011621,330478
"4809","Streather Breck",1011603,323103
"3547","Grainbank",1011412,343856
"3747","Dulse Skerry",1011392,351147
"3742","Skerry of Yinstay",1011385,351731
"3740","Orwick Brae",1011342,354258
"3732","Orwick",1011337,354384
"3746","The Shell",1011314,350853
"3538","Weyland House",1011300,345478
"4822","Peerie Tower",1011288,322491
"3741","Little Skerry",1011276,351806
"4808","Muckle Tower",1011151,322958
"3537","Little Alton",1011144,345672
"3744","Sand of Heatherhouse",1011129,353417
"4820","Sunar Dee",1011123,324319
"3749","Scare Gun",1011122,351851
"3731","Boondatoon",1011061,353958
"4814","Brunt Hill",1011037,323954
"4816","Little Hole of Lynedardy",1011030,323510
"3530","King George V Memorial Field",1010970,343879
"3535","Park Cottage",1010960,345878
"3748","Taing of Redbanks",1010931,351927
"3536","Papdale",1010914,345649
"3548","Muddisdale",1010900,343691
"3743","Taing of Rumbles",1010894,352620
"4964","Kirkwall",1010892,344894
"3733","Hole of Roe",1010812,354373
"3734","Deer Sound",1010804,354682
"4819","Dykeside",1010732,322541
"3549","St Ola",1010605,343499
"3735","Lea Taing",1010541,354671
"4812","Hole o Row",1010429,322372
"3750","Point of Greenbanks",1010419,350276
"3727","Bacon Tub",1010417,354441
"3726","The Stick",1010377,354597
"3728","Hebers Geo",1010319,354533
"3729","Long Kist",1010246,354486
"3730","Castle of Hangie Bay",1010204,354480
"14345","Kald-Setr",1010203,351072
"14340","Skibbowick Hill",1010194,353295
"3721","The Brough",1010060,354534
"3724","Castle of Hoss",1009990,354531
"4807","Outertown Road",1009935,323249
"3723","Craig of Ness",1009875,354475
"3531","Crantit House",1009745,344248
"3722","Murton",1009728,354539
"3725","The Churn",1009638,354545
"4821","Brinkies Brae",1009635,325118
"3532","Crantit Dairy",1009599,344509
"3716","Long Geo",1009497,354580
"4804","Tuskerbister",1009493,335349
"4817","Kewan",1009456,323779
"4810","Innertown",1009359,323919
"3720","Sand of Ness",1009327,354054
"3717","Castle of Bothege",1009319,354576
"4811","Sandy Hill",1009317,324572
"3718","Bothe Geo",1009287,354629
"3578","Highland Park House",1009238,345456
"3711","The Ness",1009181,354426
"3719","Castle of Suckrow",1009179,354509
"4806","Grieveship West",1009174,324918
"3511","Upper Scapa",1009111,343695
"3510","Scapa House",1009101,343452
"3713","Sands of Beeman",1009081,352900
"3712","Taing of Beeman",1009034,353204
"2286","Stromness",1008976,325365
"4795","Cooick",1008921,336889
"3533","Thule",1008884,344887
"3512","Lower Scapa",1008854,343771
"3759","Point of the Baits",1008352,343251
"3715","Gritquoy Ayre",1008243,351737
"3714","Skerries of Lakeqooy",1008207,352130
"3760","Scapa Pier",1008171,344190
"3761","Oil Depot",1008048,344507
"4799","Meadow of Akla",1007980,335278
"4802","Scatinan",1007964,338167
"3758","Mid Taing",1007948,343155
"3767","Reef of Dyke-end",1007856,343089
"8690","Akla",1007812,334082
"4800","Meadow of Burgir",1007749,335321
"4801","Quininea",1007715,335844
"3706","Toab Skerry",1007696,351739
"3710","Tankerness",1007565,350970
"4803","The Slackie",1007551,335597
"3707","The Brig",1007539,352141
"13225","St Andrews",1007526,350176
"3766","Brackan Nevi",1007513,342763
"4796","Harabreck",1007503,337602
"4798","Kirbister",1007444,336298
"13224","Deerness",1007398,357523
"3709","Point of the Liddle",1007346,352499
"3764","Hesti Geo",1007317,342379
"4794","Burgir",1007305,335195
"3708","Whey Geo",1007222,352069
"3763","Hellia",1007207,342401
"4797","Jockys Brae",1006886,335048
"3516","Fulzie Geo",1006695,324865
"3513","Strunting",1006658,325128
"3514","Coopers Noust",1006539,325276
"3515","Face of Cletts",1006387,325355
"3534","Hemp Stack",1006075,344147
"3525","Mark Stone of Gaitnip",1006041,344583
"4668","Hillock of Howesdale",1005590,322091
"3526","Haddiewell",1005555,344411
"8964","Orphir",1005518,333421
"4684","White Coss Hole",1005454,322662
"3527","Craig of Gaitnip",1005367,344454
"4782","Fea",1005263,322356
"4681","Burraquoy",1005146,323746
"4784","Bridgend",1005072,322098
"4790","Grims Dale",1004908,322664
"4781","Murra",1004890,321689
"4785","Bu Hill",1004808,322952
"3762","Long Geo",1004807,344815
"4768","Braebuster",1004788,321640
"4792","The Tongue",1004771,320474
"5455","Bu",1004771,323615
"4763","Stairs of the Heel",1004737,320120
"3755","Craig of Gaitnip",1004724,344892
"4787","Whelky Geo",1004679,320688
"4770","Hauses",1004670,322067
"4766","Whimsack",1004607,320058
"4765","The Witter",1004599,322401
"4783","Lenders Dale",1004581,321164
"4791","Hellia",1004524,319403
"4633","Kay Breck",1004434,320262
"4767","Bailie Breck",1004402,322436
"4671","Hamars of Loundersfea",1004262,320832
"4764","Meadow of the Kame",1004250,320061
"4639","Skecking Gill",1004088,321151
"4689","Bea",1004063,321381
"4686","Lounders Fea",1004048,320757
"4683","Enegars",1004005,319927
"13228","Houton",1003932,331043
